date,SKU_A_Yoghurt,SKU_B_Detergent,SKU_C_XmasCookies,SKU_D_Coffee,SKU_E_Bread,SKU_F_Cleaning
2021-01-04,719,660,32,74,1130,0
2021-01-11,624,729,52,114,1004,57
2021-01-18,719,610,26,108,1090,112
2021-01-25,720,555,49,85,1176,56
2021-02-01,538,573,38,74,1017,0
2021-02-08,571,592,54,53,876,34
2021-02-15,654,820,49,87,1025,0
2021-02-22,627,584,62,129,931,24
2021-03-01,647,1187,49,101,976,0
2021-03-08,602,578,21,87,995,76
2021-03-15,713,725,39,102,835,83
2021-03-22,717,681,26,73,841,0
2021-03-29,686,637,34,91,1038,0
2021-04-05,764,647,58,96,943,109
2021-04-12,740,598,48,94,751,170
2021-04-19,679,686,32,106,1073,0
2021-04-26,772,614,28,100,1029,0
2021-05-03,713,552,40,104,942,72
2021-05-10,845,548,25,85,894,64
2021-05-17,811,664,32,108,1108,0
2021-05-24,826,776,44,118,1073,0
2021-05-31,818,663,54,81,1279,0
2021-06-07,955,641,47,83,1105,0
2021-06-14,894,673,13,114,1117,28
2021-06-21,898,754,44,92,1079,0
2021-06-28,922,668,41,115,1187,0
2021-07-05,993,617,45,89,1185,0
2021-07-12,999,739,59,115,1260,54
2021-07-19,1016,684,15,97,1106,82
2021-07-26,1030,773,33,99,1129,0
2021-08-02,1142,665,47,117,1139,11
2021-08-09,996,552,21,90,1273,0
2021-08-16,995,541,58,82,1353,128
2021-08-23,979,782,44,89,1178,0
2021-08-30,1064,1218,50,101,1191,0
2021-09-06,1092,636,33,73,1270,116
2021-09-13,1012,619,50,104,1224,105
2021-09-20,960,767,53,87,1343,0
2021-09-27,951,561,43,111,1042,0
2021-10-04,1026,578,43,61,1179,40
2021-10-11,1018,701,43,84,1184,0
2021-10-18,989,618,30,71,1036,0
2021-10-25,899,650,38,83,1161,28
2021-11-01,934,637,38,98,1161,71
2021-11-08,907,677,476,92,1222,25
2021-11-15,893,763,509,91,1339,73
2021-11-22,911,657,427,93,1201,72
2021-11-29,851,702,522,98,1116,61
2021-12-06,858,486,409,81,1197,0
2021-12-13,801,646,451,105,1290,44
2021-12-20,796,583,606,104,1084,0
2021-12-27,798,552,476,100,1077,145
2022-01-03,657,580,556,103,1203,59
2022-01-10,711,623,40,99,1116,0
2022-01-17,689,723,56,123,1185,0
2022-01-24,668,544,50,94,1109,136
2022-01-31,682,652,50,91,1165,45
2022-02-07,783,611,47,84,989,77
2022-02-14,638,624,68,81,1075,86
2022-02-21,748,730,38,78,1047,71
2022-02-28,591,693,16,83,944,24
2022-03-07,676,757,59,94,904,97
2022-03-14,713,638,35,100,1113,45
2022-03-21,749,594,41,96,1011,0
2022-03-28,768,632,56,84,946,0
2022-04-04,787,669,21,108,1034,89
2022-04-11,735,664,25,105,1152,131
2022-04-18,746,563,21,93,832,95
2022-04-25,845,657,30,86,911,90
2022-05-02,803,668,45,103,973,0
2022-05-09,759,851,46,98,1208,0
2022-05-16,790,800,43,75,1106,0
2022-05-23,825,582,23,94,1163,0
2022-05-30,933,627,12,99,994,0
2022-06-06,934,533,41,82,1009,0
2022-06-13,988,603,34,98,1173,53
2022-06-20,942,675,46,75,1150,34
2022-06-27,996,746,48,114,1212,67
2022-07-04,1042,592,42,112,1158,0
